Year,Max_Surge_Symbol,Max_Surge_Value
2013,BTC,1664.39886063239
2014,DOGE,2155.993021492037
2015,ETH,564.9631522003885
2016,ETH,2214.679363383806
2017,BNB,11659.724425243145
2018,ETH,1629.906921155504
2019,BNB,620.2531068995327
2020,ETH,692.4660159949158
2021,DOGE,15880.971902029776
