Name,Marketcap,Volume
Binance Coin,7835574758.146324,626980416.307685
Bitcoin,120876059112.8843,10906334004.866829
Dogecoin,1760532915.1020098,432632096.62974995
Ethereum,41720840040.40067,7057057896.879463
